frequency_hz,requested_field_oe,current_a,actual_current_a,direction,sweep_number,timestamp,s11_real,s11_imag,s11_magnitude,s11_magnitude_db,s11_phase_deg,s21_real,s21_imag,s21_magnitude,s21_magnitude_db,s21_phase_deg
1000000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.10166023,0.0,0.10166023,-19.85697824135451,0.0,-0.46160412,-0.80160573,0.925013572857073,-0.6770378949775324,-119.93545983381061
1010000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.10626657,0.01052054,0.1067860742861938,-19.42970757816964,5.653938905210602,-0.46977467,-0.77770613,0.9085785960571523,-0.8327499668434417,-121.13414437985199
1020000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.0930242,0.01859194,0.09486391315249229,-20.457979291873492,11.302292451496337,-0.48690198,-0.76922779,0.9103762579484399,-0.8155815386732543,-122.33278880798555
1030000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.09323171,0.02839618,0.09746022156816851,-20.223452112383306,16.939499168363774,-0.56124381,-0.84693835,1.0160212512364288,0.13805583608780053,-123.53139112948853
1040000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.08821994,0.03665015,0.09553005447829548,-20.397199491747454,22.559985117009294,-0.57980787,-0.83641442,1.0177260181885266,0.15261754815033238,-124.7299494885702
1050000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.09039732,0.04838575,0.10253222062476215,-19.782792733017583,28.158204430947027,-0.5576935,-0.76961819,0.9504389503388032,-0.4415154798631343,-125.92846139030362
1060000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.07764287,0.05183745,0.0933570376797561,-20.597058747597057,33.72864048867379,-0.58248168,-0.76942699,0.9650403102855769,-0.30909091096962177,-127.1269261379971
1070000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.07864299,0.06429015,0.10157727729744778,-19.864068645769915,39.26578266349948,-0.58642248,-0.74186484,0.9456504459246957,-0.485387366262199,-128.3253402278088
1080000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.07102013,0.07043791,0.10002678656432486,-19.997673660144265,44.7641805274421,-0.57469538,-0.69657393,0.9030448603192365,-0.8858134963837687,-129.52370249202104
1090000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.05803548,0.06970184,0.09069985357328864,-20.847868281370108,50.218395821134855,-0.63553563,-0.73830444,0.9741657883149103,-0.22734252930152019,-130.72201078165756
1100000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.05601964,0.08188529,0.09921391426666776,-20.068548317910203,55.62305703740517,-0.63829349,-0.71088381,0.9553922601196307,-0.39636562741190673,-131.92026196576563
1110000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.05007654,0.09023951,0.10320285375614231,-19.726165869406834,60.97282624214262,-0.6391491,-0.68256885,0.9350998914667527,-0.5828398682058362,-133.1184532763885
1120000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.03921667,0.0891791,0.09742104024644214,-20.226944748235574,66.26242068071258,-0.63542633,-0.65076864,0.9095418867016068,-0.8235459156384949,-134.31658267809894
1130000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.03100891,0.09260398,0.09765781899688576,-20.20585958182725,71.48661808015734,-0.61803118,-0.60702706,0.866281935067583,-1.2468148405496637,-135.51464710517556
1140000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.02435805,0.1025641,0.10541683550843528,-19.54180049887582,76.64027004068035,-0.69155146,-0.65139708,0.9500324087422797,-0.44523158479434033,-136.7126428789067
1150000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.01395605,0.0958795,0.09688988518856084,-20.274431174377654,81.71828983852204,-0.75980433,-0.68628138,1.0238577793919688,0.20479268914567395,-137.91056783687793
1160000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,0.00577216,0.10058596,0.10075144257124659,-19.93497453723642,86.7156639660406,-0.68601593,-0.59406925,0.9074889145379834,-0.84317342797227,-139.1084176700293
1170000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.00265353,0.09339444,0.09343212854459915,-20.590075141286547,91.62745426215442,-0.71043628,-0.58968594,0.9232817640211043,-0.6933148443647018,-140.30618904729224
1180000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.01165409,0.10310539,0.10376193550999423,-19.67923871583684,96.44882035681898,-0.71286074,-0.56695625,0.9108291958690224,-0.8112611377388718,-141.503878645563
1190000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.01926571,0.09752221,0.09940698680217704,-20.05166180440877,101.17500509295942,-0.74056278,-0.56412739,0.9309527073216665,-0.62144761497934,-142.70148175149092
1200000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.02702852,0.09550821,0.0992590503218447,-20.064597686129837,105.80134453531144,-0.76332412,-0.55664606,0.9447319981281983,-0.49382749630202777,-143.8989935880974
1210000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.03750783,0.10127041,0.10799320929057069,-19.332071049585927,110.32327152926,-0.79332656,-0.55350616,0.9673345336332096,-0.28846615462032366,-145.09641075557846
1220000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.0421735,0.09153888,0.10078675832620275,-19.931930461703267,114.73631807693855,-0.79690296,-0.53159427,0.9579388266239106,-0.37324447621494206,-146.2937271078064
1230000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.05073087,0.09138493,0.10452189532371578,-19.61585447388694,119.03613836551689,-0.77566802,-0.49432751,0.9197937618800861,-0.7261908034858293,-147.49093838418318
1240000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.05437893,0.08304125,0.09926186190832509,-20.064351655325282,123.21847878088121,-0.81569787,-0.49618535,0.9547580409073073,-0.40213350681286364,-148.6880386079029
1250000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.05950586,0.0781714,0.09824314302942268,-20.153955037555768,127.27922158523205,-0.79255929,-0.45970741,0.916232029004778,-0.7598906105764669,-149.88502150824783
1260000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.07040991,0.08038795,0.10686336103366112,-19.423423412828754,131.2143533223734,-0.79175909,-0.43740125,0.9045453609958931,-0.8713929865588653,-151.0818804633628
1270000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.07010259,0.07005369,0.09910546204586405,-20.078048187588312,135.019990281595,-0.81444854,-0.42798299,0.9200520985452246,-0.7237515950435669,-152.27860959448805
1280000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.07442506,0.06540154,0.09907800457404863,-20.080454973336114,138.69238534866832,-0.83186579,-0.41520264,0.92972787676572,-0.6328829410228565,-153.47520071947784
1290000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.07617966,0.05903161,0.09637464177317444,-20.32074446441719,142.2278994657202,-0.85163791,-0.40308312,0.9422118293558527,-0.5170289509745672,-154.67164695529092
1300000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.08003077,0.05475092,0.096966939663162,-20.267526215542556,145.62305681321214,-0.83354848,-0.37342415,0.9133721390066225,-0.7870448000637499,-155.8679392193067
1310000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.08616457,0.0520301,0.10065517586937545,-19.943277760024458,148.87450433771212,-0.79560567,-0.33666512,0.8639049630374648,-1.2706806202964718,-157.0640685382554
1320000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.08693951,0.04626739,0.09848426156727887,-20.13266334143936,151.9790252290127,-0.93564783,-0.37309588,1.0072921112848463,0.0631086548163835,-158.26002498085225
1330000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09100815,0.04256634,0.10047077519068964,-19.959204937841132,154.9335635974921,-0.909164,-0.34072214,0.9709123315635555,-0.25639965801031683,-159.45579923109162
1340000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09158256,0.03749503,0.09896081330938272,-20.09073488230678,157.73520184976206,-0.90259159,-0.31694321,0.9566214385554153,-0.385197810238923,-160.65137861561823
1350000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09626527,0.03431417,0.10219816275727173,-19.811138231100646,160.38117185834906,-0.86151531,-0.28247306,0.9066419684694503,-0.8512836262871188,-161.84675222317964
1360000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.0996467,0.0307146,0.10427296617076738,-19.6365654450206,162.8688708973345,-0.87746056,-0.267565,0.9173483872447336,-0.7493139643808638,-163.04190670614523
1370000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09887638,0.02613196,0.10227129536358674,-19.804924865248147,165.19583282432842,-0.85818119,-0.24224512,0.8917161280551287,-0.9954675680934524,-164.2368283149402
1380000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09884346,0.02216702,0.10129859999255665,-19.88793113617224,167.35976591159022,-0.8710516,-0.22638062,0.8999883749105565,-0.9152620055424745,-165.43150136164914
1390000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09846782,0.01850151,0.1001909050155377,-19.983434008664634,169.3585398714187,-0.9210447,-0.21898371,0.9467191793998124,-0.47557649012037273,-166.6259092145743
1400000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.1032803,0.01600677,0.10451333433549473,-19.61656593098481,171.19017525105005,-0.87344089,-0.18852493,0.8935550556935465,-0.9775736724050219,-167.82003499058328
1410000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10283877,0.01289517,0.10364409305137363,-19.68910888892196,172.85286430368464,-0.87540025,-0.16994084,0.891742948836697,-0.9952063203286505,-169.01385866142274
1420000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10166693,0.01006713,0.10216414127306019,-19.814030221003744,174.34496676805102,-0.90269202,-0.15580258,0.9160389330734457,-0.7617213550351553,-170.20735954834686
1430000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10109882,0.00766374,0.10138887668861905,-19.88019377140182,175.6650159069769,-0.88728299,-0.13418079,0.8973714887093105,-0.9405546597968338,-171.40051425553546
1440000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.08841069,0.00492481,0.08854774903865259,-21.056449489595018,176.8117032037904,-0.92211871,-0.11987199,0.9298775238269953,-0.6314849908326823,-172.59329820404898
1450000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10648933,0.00412087,0.10656903383913076,-19.447379430857335,177.78390278580645,-0.90832158,-0.09890493,0.913690471588711,-0.7840180819992841,-173.78568461654896
1460000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10608162,0.00262843,0.10611417787501018,-19.4845317260219,178.58064819640833,-0.95119222,-0.08359256,0.9548582907823977,-0.401221533724223,-174.97764228998207
1470000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09847078,0.00137302,0.0984803518359312,-20.133008169826738,179.20115232582037,-0.89951023,-0.06023203,0.9015245705539998,-0.9004486464831885,-176.16914078104358
1480000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09383553,0.00058171,0.09383733306581661,-20.552486874469956,179.64481363347943,-0.99405969,-0.04583295,0.9951157352733393,-0.042528128450892086,-177.36014230302428
1490000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10562947,0.00016375,0.10562959692502571,-19.524287548872408,179.91117842038327,-0.89360249,-0.02260997,0.8938884834684924,-0.9743331595434022,-178.55060887912006
1500000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10039384,0.0,0.10039384,-19.965858679294378,180.0,-0.93975248,-0.00425635,0.9397621189330164,-0.5396413005394697,-179.74049632348718
1510000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10610975,0.00016449,0.10610987749508809,-19.48488373725215,179.91118087430448,-0.91995734,0.01492977,0.9200784778768214,-0.7235025605827227,179.07024196960256
1520000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09832049,0.00060952,0.09832237928605318,-20.14695241156524,179.64480978320506,-0.9191411,0.033998,0.9197696590523141,-0.7264184167332145,177.88165901422377
1530000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.09986298,0.00139243,0.09987268713609994,-20.01106530012422,179.2011534944216,-0.90934149,0.05253081,0.9108575253214282,-0.8109909853638664,176.69381371486665
1540000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10022501,0.00248332,0.10025577044600724,-19.97781242388401,178.58064719712883,-0.97809513,0.07686146,0.9811104766350467,-0.16564173432659798,175.50677063296908
1550000000.0,0.0,-0.016666666666666663,,reverse,1,2026-07-30T00:01:11,-0.10520713,0.00407125,0.1052858740733979,-19.552597860906108,177.7839039145455,-0.83492037,0.08303295,0.8390390306932326,-1.524356720960491,174.3206011304297
